link,relevance
https://moodle.ucl.ac.uk/login/index.php,2
http://www.ucl.ac.uk/pals/current-students/masters,2
http://www.cs.ucl.ac.uk/students/moodle_links/pending/,0
http://www.cs.ucl.ac.uk/teaching_learning/moodle_links/pending/,0
http://www.cs.ucl.ac.uk/current_students/moodle_links/pending/,0
http://www.cs.ucl.ac.uk/mobile/students/moodle_links/pending/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/moodle_links/pending/,0
http://www.cs.ucl.ac.uk/mobile/current_students/moodle_links/pending/,0
http://www.cs.ucl.ac.uk/students/moodle_links/,0
http://www.cs.ucl.ac.uk/teaching_learning/moodle_links/,0
http://www.cs.ucl.ac.uk/current_students/moodle_links/,0
http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/agendas/march_18th_2011/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/agendas/march_18th_2011/,0
http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/agendas/march_18th_2011/,0
http://www.cs.ucl.ac.uk/mobile/students/degree_programme/ancillary/,0
http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/ancillary/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/ancillary/,0
http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/december_6th_2010/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/minutes/december_6th_2010/,0
http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/minutes/december_6th_2010/,0
http://www.cs.ucl.ac.uk/students/degree_programme/ancillary/,0
http://www.cs.ucl.ac.uk/current_students/degree_programme/ancillary/,0
http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/ancillary/,0
http://www.cs.ucl.ac.uk/students/student_information/staff_student_committee/minutes/december_6th_2010/,0
http://www.cs.ucl.ac.uk/teaching_learning/student_information/staff_student_committee/minutes/december_6th_2010/,0
http://www.cs.ucl.ac.uk/current_students/student_information/staff_student_committee/minutes/december_6th_2010/,0
http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/march_18th_2011/,0
http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/minutes/march_18th_2011/,0
http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/minutes/march_18th_2011/,0
http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/march_5th_2012/,0
